"Time (s) Run #4","Angle (rad) Run #4","Angular Velocity (rad/s) Run #4","Angular Acceleration (rad/s²) Run #4","State Run #4"
22.650,-0.685,-8.116,19.005,
22.700,-1.065,-6.836,25.744,
22.750,-1.374,-5.381,28.022,
22.800,-1.601,-3.942,27.440,
22.850,-1.763,-2.603,25.647,
22.900,-1.859,-1.382,23.756,
22.950,-1.898,-0.247,22.301,
23.000,-1.881,0.829,21.429,
23.050,-1.815,1.876,21.138,
23.100,-1.693,2.923,21.380,
23.150,-1.523,4.000,21.768,
23.200,-1.296,5.120,21.283,
23.250,-1.012,6.210,18.423,
23.300,-0.668,7.098,11.829,
23.350,-0.288,7.549,1.212,
23.400,0.109,7.330,-12.314,
23.450,0.476,6.341,-26.325,
23.500,0.768,4.611,-37.912,
23.550,0.956,2.371,-44.700,
23.600,1.012,-0.073,-45.476,
23.650,0.942,-2.385,-40.482,
23.700,0.759,-4.276,-30.883,
23.750,0.493,-5.571,-18.471,
23.800,0.179,-6.152,-5.236,
23.850,-0.148,-6.050,6.884,
23.900,-0.445,-5.367,16.387,
23.950,-0.698,-4.291,22.689,
24.000,-0.881,-2.996,25.986,
24.050,-0.999,-1.614,27.004,
24.100,-1.043,-0.247,26.422,
24.150,-1.021,1.062,24.725,
24.200,-0.934,2.254,22.059,
24.250,-0.790,3.302,18.277,
24.300,-0.598,4.131,13.138,
24.350,-0.367,4.669,6.448,
24.400,-0.118,4.829,-1.648,
24.450,0.131,4.538,-10.617,
24.500,0.353,3.767,-19.199,
24.550,0.524,2.545,-25.647,
24.600,0.620,1.062,-28.507,
24.650,0.628,-0.451,-27.440,
24.700,0.567,-1.789,-23.174,
24.750,0.441,-2.836,-16.629,
24.800,0.271,-3.505,-8.775,
24.850,0.074,-3.723,-0.630,
24.900,-0.118,-3.534,6.739,
24.950,-0.288,-2.996,12.557,
25.000,-0.428,-2.211,16.435,
25.050,-0.515,-1.280,18.181,
25.100,-0.554,-0.320,18.035,
25.150,-0.545,0.567,16.435,
25.200,-0.493,1.353,13.769,
25.250,-0.406,1.978,10.230,
25.300,-0.288,2.400,6.012,
25.350,-0.157,2.589,1.454,
25.400,-0.022,2.545,-3.297,
25.450,0.105,2.269,-7.999,
25.500,0.214,1.731,-11.975,
25.550,0.288,1.004,-14.205,
25.600,0.314,0.218,-14.157,
25.650,0.305,-0.480,-12.314,
25.700,0.262,-1.033,-9.502,
25.750,0.196,-1.440,-6.254,
25.800,0.113,-1.673,-2.618,
25.850,0.022,-1.716,1.212,
25.900,-0.065,-1.542,4.703,
25.950,-0.140,-1.207,7.272,
26.000,-0.188,-0.771,8.533,
26.050,-0.218,-0.305,8.484,
26.100,-0.218,0.116,7.369,
26.150,-0.201,0.451,5.672,
26.200,-0.170,0.684,3.782,
26.250,-0.131,0.829,1.891,
26.300,-0.083,0.873,0.097,
26.350,-0.039,0.829,-1.551,
26.400,0.000,0.713,-2.957,
26.450,0.035,0.524,-3.927,
26.500,0.057,0.291,-4.121,
26.550,0.061,0.073,-3.491,
26.600,0.061,-0.073,-2.473,
26.650,0.052,-0.160,-1.551,
26.700,0.044,-0.218,-0.873,
26.750,0.031,-0.247,-0.242,
26.800,0.017,-0.247,0.436,
26.850,0.004,-0.204,1.018,
26.900,-0.004,-0.131,1.261,
26.950,-0.009,-0.058,1.067,
27.000,-0.009,-0.015,0.630,
27.050,-0.009,0.000,0.242,
27.100,-0.009,0.000,0.048,
27.150,-0.009,0.000,0.000,
27.200,-0.009,0.000,0.000,
27.250,-0.009,0.000,0.000,
27.300,-0.009,0.000,0.000,
27.350,-0.009,0.000,0.000,
27.400,-0.009,0.000,0.000,
27.450,-0.009,0.000,-1.018,
27.500,-0.009,0.000,-9.018,
27.550,-0.009,-0.305,-29.137,
27.600,-0.009,-2.400,-53.766,
27.650,-0.100,-6.341,-63.220,
27.700,-0.637,-10.094,-45.621,
27.750,-1.283,-11.577,-14.108,
27.800,-1.854,-10.850,8.824,
27.850,-2.356,-9.817,14.205,
27.900,-2.819,-9.207,9.454,
27.950,-3.264,-8.959,4.945,
28.000,-3.709,-8.872,4.897,
28.050,-4.154,-8.668,10.230,
28.100,-4.590,-8.029,20.217,
28.150,-4.983,-6.734,32.386,
28.200,-5.288,-4.741,43.197,
28.250,-5.476,-2.240,49.499,
28.300,-5.520,0.436,49.693,
28.350,-5.424,2.938,44.021,
28.400,-5.210,4.989,33.937,
28.450,-4.904,6.414,21.526,
28.500,-4.542,7.141,9.211,
28.550,-4.167,7.243,-0.679,
28.600,-3.805,6.923,-6.690,
28.650,-3.469,6.429,-8.630,
28.700,-3.163,5.949,-7.272,
28.750,-2.880,5.629,-3.636,
28.800,-2.609,5.541,1.406,
28.850,-2.334,5.745,7.078,
28.900,-2.046,6.254,12.508,
28.950,-1.719,7.039,16.435,
29.000,-1.348,7.999,17.211,
29.050,-0.921,8.930,12.993,
29.100,-0.445,9.527,2.812,
29.150,0.057,9.410,-12.460,
29.200,0.532,8.363,-29.913,
29.250,0.925,6.356,-45.669,
29.300,1.196,3.607,-56.287,
29.350,1.300,0.465,-59.535,
29.400,1.239,-2.633,-54.929,
29.450,1.021,-5.265,-43.536,
29.500,0.685,-7.141,-27.683,
29.550,0.275,-8.087,-10.375,
29.600,-0.157,-8.116,5.381,
29.650,-0.563,-7.403,17.356,
29.700,-0.912,-6.210,24.774,
29.750,-1.191,-4.785,28.168,
29.800,-1.392,-3.302,28.798,
29.850,-1.518,-1.862,27.974,
29.900,-1.575,-0.495,26.665,
29.950,-1.566,0.800,25.404,
30.000,-1.492,2.036,24.386,
30.050,-1.361,3.229,23.416,
30.100,-1.169,4.392,21.768,
30.150,-0.921,5.469,18.277,
30.200,-0.615,6.327,11.878,
30.250,-0.275,6.778,2.279,
30.300,0.083,6.647,-9.793,
30.350,0.415,5.832,-22.544,
30.400,0.689,4.334,-33.549,
30.450,0.868,2.327,-40.482,
30.500,0.929,0.087,-41.985,
30.550,0.873,-2.065,-38.009,
30.600,0.711,-3.869,-29.477,
30.650,0.467,-5.120,-17.987,
30.700,0.175,-5.701,-5.478,
30.750,-0.127,-5.629,6.109,
30.800,-0.406,-5.003,15.417,
30.850,-0.641,-3.985,21.865,
30.900,-0.812,-2.720,25.404,
30.950,-0.916,-1.353,26.422,
31.000,-0.947,-0.015,25.550,
31.050,-0.912,1.236,23.513,
31.100,-0.820,2.356,20.653,
31.150,-0.672,3.331,16.726,
31.200,-0.480,4.087,11.296,
31.250,-0.253,4.523,4.169,
31.300,-0.013,4.552,-4.218,
31.350,0.218,4.116,-12.896,
31.400,0.415,3.229,-20.556,
31.450,0.554,1.978,-25.841,
31.500,0.620,0.524,-27.731,
31.550,0.607,-0.931,-25.938,
31.600,0.519,-2.182,-20.992,
31.650,0.375,-3.098,-13.963,
31.700,0.196,-3.607,-6.012,
31.750,0.000,-3.694,1.794,
31.800,-0.188,-3.389,8.581,
31.850,-0.349,-2.778,13.817,
31.900,-0.471,-1.949,17.259,
31.950,-0.550,-0.989,18.811,
32.000,-0.572,0.000,18.471,
32.050,-0.545,0.916,16.581,
32.100,-0.476,1.687,13.623,
32.150,-0.371,2.298,9.842,
32.200,-0.240,2.705,5.188,
32.250,-0.092,2.851,-0.242,
32.300,0.057,2.691,-5.866,
32.350,0.188,2.240,-10.860,
32.400,0.288,1.556,-14.496,
32.450,0.349,0.727,-16.241,
32.500,0.362,-0.145,-15.805,
32.550,0.332,-0.931,-13.332,
32.600,0.262,-1.527,-9.502,
32.650,0.170,-1.891,-5.139,
32.700,0.065,-2.036,-0.776,
32.750,-0.039,-1.963,3.297,
32.800,-0.140,-1.687,6.787,
32.850,-0.214,-1.251,9.308,
32.900,-0.266,-0.713,10.617,
32.950,-0.288,-0.145,10.617,
33.000,-0.279,0.393,9.405,
33.050,-0.244,0.829,7.369,
33.100,-0.192,1.134,4.945,
33.150,-0.127,1.324,2.376,
33.200,-0.057,1.382,-0.339,
33.250,0.017,1.294,-3.103,
33.300,0.079,1.062,-5.478,
33.350,0.127,0.713,-7.030,
